school,region,rank,n_majors,majors,tuition_min,tuition_max,guide_status,guide_url,lang_req
동아대학교,부산광역시,,58,"이공계한국어트랙학과, 석사과정은세부전공이없으며개설되어있더라도학과, 한국어문학과, 영어영문학과, 교육학과, 상담학과 외 52개",4618000,8100000,2026_or_older,http://donga.ac.kr/global/CMS/Board/Board.do?mCode=MN044,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
동양대학교,경상북도,,30,"사회복지학과, 한중문화학과, 철도전기융합학과, 컴퓨터공학과, 사회적경제도시재생학과, 기계시스템공학과 외 24개",,,unknown_year,https://grad.dyu.ac.kr/,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
명지대학교,경기도,,60,"문예창작학과디자인학과음악학과음악치료학과, 뮤지컬공연학과, 국어국문학과, 영어영문학과, 중어중문학과, 아랍지역학과 외 54개",5098000,7152000,2026_or_older,https://globaluniv.mycafe24.com/mju/brochure/gra_eng.pdf,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
부산가톨릭대학교,부산광역시,,13,"글로벌유통비즈니스학과, 간호학과, 임상병리학과, 물리치료학과, 방사선학과, 치기공학과 외 7개",3333000,4803500,2026_or_older,https://graduate.cup.ac.kr/organ/graduate/front/conts/103002000000000.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
부산외국어대학교,부산광역시,,36,"영어영문학과, 글로벌일본학과, 중국어중국학과, 한국학과, 한국어교육학과, 다문화교육학과 외 30개",3757000,6397000,2026_or_older,https://oiaglobal.bufs.ac.kr/graduate,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
상명대학교,서울특별시,,34,"예외학과, 학과장(전공, 석사과정(학과, 조형예술학과, 생활예술학과, 음악학과 외 28개",,,2026_or_older,https://www.smu.ac.kr/grad/admission/recruitschedule.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
상지대학교,강원도,,58,"김상지경영학과, 사회복지학과, 간호학과, 안보학과, 경영학과, 한국어문화학과 외 52개",4572000,8299000,unknown_year,https://www.sangji.ac.kr/gradgo/sub01_02.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
서울신학대학교,경기도,,8,"예능계열(교회음악학과, 음악학과, 사회복지학과, 교회음악학과, IT융합학과, 기독교교육학과 외 2개",,,2026_or_older,https://www.stu.ac.kr/,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
서울여자대학교,서울특별시,,44,"사회복지학과, 아동학과, AI기술융합학과, 국어국문학과, 영어영문학과, 불어불문학과 외 38개",4657000,,2026_or_older,https://www.swu.ac.kr/grd/1116/subview.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
선문대학교,충청남도,,43,"교육상담학과, 국어국문학과, 국제관계학과, 글로벌경영학과, 글로벌경제학과, 한국학과 외 37개",3053000,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
성신여자대학교,서울특별시,,55,"음악학과, 반주학과, 한국어학과, 국어국문학과, 한국어문화교육전공, 영어영문학과 외 49개",4569000,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
세명대학교,충청북도,,25,"경영학과, 관광학과, 도시경제부동산학과, 항공서비스경영학과, 한국어교육융합학과, 외국인전담학과 외 19개",,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
수원대학교,경기도,,28,"국어국문학과, 영어영문학과, 중어중문학과, 행정학과, 경영학과, 컴퓨터학과 외 22개",,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
순천향대학교,충청남도,,60,"한국어문화학과, 간호학과, 의생명융합학과, 국제개발협력학과, 한국어학과, 영어트랙학과 외 54개",3657000,,2026_or_older,https://gradu.sch.ac.kr/boards/chk_view/sub03_04/47/20/,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
우송대학교,대전광역시,,56,"AI학과, AI전공, AI융합전공, 철도시스템학과, 철도시스템학전공, 언어청각재활학과 외 50개",,,2026_or_older,https://www.wsu.ac.kr/page/index.jsp?code=college0202a,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
원광대학교,전라북도,,60,"경영학과, 경제학과, 경찰행정학과, 미술사학과, 교육학과, 국어국문학과 외 54개",3897000,,2026_or_older,https://wgs.wku.ac.kr/?page_id=297,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
